question,answer,correct_feedback,incorrect_feedback,hint
3x4=?,12,好棒,再試試,是12
15/3=?,5,答對了!,答錯了,是5
6x8=?,48,好棒,再試試,是48
20/4=?,5,答對了!,答錯了,是5
9x9=?,81,好棒,再試試,是81
30-5=?,25,答對了!,答錯了,是25
42/7=?,6,好棒,再試試,是6
12+8=?,20,答對了!,答錯了,是20
7x5=?,35,好棒,再試試,是35
64/8=?,8,答對了!,答錯了,是8
11x2=?,22,好棒,再試試,是22
50/2=?,25,答對了!,答錯了,是25
15+16=?,31,好棒,再試試,是31
100-25=?,75,答對了!,答錯了,是75
12x3=?,36,好棒,再試試,是36
90/9=?,10,答對了!,答錯了,是10
13x2=?,26,好棒,再試試,是26
45+45=?,90,答對了!,答錯了,是90
80/4=?,20,好棒,再試試,是20
25x4=?,100,答對了!,答錯了,是100

